,index,RMSE,MAE,R2
0,XGBoost,22730.366245766185,18379.166666666668,0.9817690273475503
1,RandomForest,18436.51357135255,15302.5,0.9880062617218802
2,LSTM,16429.865621280453,13325.666666666666,0.990474999754011
3,LinearRegression,16221.040790693221,12433.0,0.9907155879704752
4,ARIMA,14959.893466322543,11265.335749361207,0.9835642876232814
